id,name,start,end,accessed_on,URL
209,IJmond ,20010130,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
210,Valkenburg Zh ,19510101,20160504,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
215,Voorschoten ,20140715,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
225,IJmuiden ,19710101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
235,De Kooy ,19060101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
240,Schiphol ,19510101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
242,Vlieland ,19960101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
248,Wijdenes ,19940715,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
249,Berkhout ,19990312,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
251,Hoorn Terschelling ,19940526,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
257,Wijk aan Zee,20010430,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
258,Houtribdijk ,20060201,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
260,De Bilt ,19010101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
265,Soesterberg ,19510901,20070522,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
267,Stavoren ,19900618,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
269,Lelystad ,19900117,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
270,Leeuwarden ,19510101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
273,Marknesse ,19890101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
275,Deelen ,19510101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
277,Lauwersoog ,19910318,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
278,Heino ,19910101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
279,Hoogeveen ,19890926,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
280,Eelde ,19060101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
283,Hupsel ,19891016,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
285,Huibertgat ,19810101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
286,Nieuw Beerta ,19900117,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
290,Twenthe ,19510101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
308,Cadzand ,19720101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
310,Vlissingen ,19060101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
311,Hoofdplaat ,19970131,20160201,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
312,Oosterschelde ,19820101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
313,Vlakte van De Raan,19970131,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
315,Hansweert ,19970131,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
316,Schaar ,19830101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
319,Westdorpe ,19910625,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
323,Wilhelminadorp ,20171215,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
324,Stavenisse ,19970930,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
330,Hoek van Holland,19710101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
331,Tholen ,19810101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
340,Woensdrecht ,19930401,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
343,Rotterdam Geulhaven ,19910101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
344,Rotterdam ,19561001,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
348,Cabauw Mast ,19860301,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
350,Gilze-Rijen ,19510101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
356,Herwijnen ,19890926,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
370,Eindhoven ,19510101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
375,Volkel ,19510201,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
377,Ell ,19990501,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
380,Maastricht ,19060101,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
391,Arcen ,19900618,20200520,20200521,https://www.knmi.nl/nederland-nu/klimatologie/daggegevens
